Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
09802-000-000-1,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
09802-000-000-2,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
09802-000-000-3,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
09802-000-000-4,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
09802-000-000-5,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
09802-000-000-6,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
09802-000-000-7,09802-000-000,2019,301 NW 13TH  AVE,29.663883,-82.327789,POINT (-82.327789 29.663883),GAINESVILLE,FL,32601,1,2,4,1,772
10316-000-000-1,10316-000-000,2019,01021 NE 4TH  ST,29.661368,-82.321295,POINT (-82.321295 29.661368000000003),GAINESVILLE,FL,32601,1,13,4,2,772
15699-006-000-1,15699-006-000,2019,00616 SW 21ST  AVE,29.632259,-82.331312,POINT (-82.331312 29.632259),GAINESVILLE,FL,32601,1,15,1,1,772
06082-010-053-1,06082-010-053,2019,04337 NW 30TH  TER,29.694401,-82.367679,POINT (-82.367679 29.694401000000003),GAINESVILLE,FL,32605,5,18,2,7,770
09013-022-002-1,09013-022-002,2019,01667 NW 19TH  CIR,29.671412,-82.344543,POINT (-82.344543 29.671412000000004),GAINESVILLE,FL,32605,5,8,2,4,770
06435-009-000-1,06435-009-000,2019,01311 NW 31ST  DR,29.664316,-82.369413,POINT (-82.369413 29.664316),GAINESVILLE,FL,32605,5,16,3,6,770
08757-000-000-1,08757-000-000,2019,00724 NW 30TH  AVE,29.680056,-82.332351,POINT (-82.332351 29.680056000000004),GAINESVILLE,FL,32609,4,3,2,4,766
10220-000-000-1,10220-000-000,2014,01426 NE 7TH  ST,29.665432,-82.31738,POINT (-82.31738 29.665431999999996),GAINESVILLE,FL,32601,1,13,4,2,772
09450-000-000-1,09450-000-000,2019,00713 NW 10TH  AVE,29.661161,-82.332272,POINT (-82.332272 29.661160999999996),GAINESVILLE,FL,32601,1,2,4,1,772
06067-020-069-1,06067-020-069,2019,04445 NW 36TH  ST,29.695952,-82.376152,POINT (-82.376152 29.695951999999995),GAINESVILLE,FL,32605,5,17,2,7,770
06091-020-101-1,06091-020-101,2019,03507 NW 25TH  TER,29.684742,-82.359009,POINT (-82.359009 29.684742000000004),GAINESVILLE,FL,32605,5,18,2,7,770
06410-039-000-1,06410-039-000,2019,02201 NW 36TH  DR,29.672989,-82.378013,POINT (-82.378013 29.672988999999998),GAINESVILLE,FL,32605,5,8,3,6,770
08202-029-000-1,08202-029-000,2019,03012 NE 10TH  DR,29.680724,-82.313147,POINT (-82.31314700000001 29.680724000000005),GAINESVILLE,FL,32609,4,12,1,2,766
06574-049-047-1,06574-049-047,2019,04947 NW 2ND  PL,29.654781,-82.395432,POINT (-82.395432 29.654781),GAINESVILLE,FL,32607,7,33,3,6,768
09581-000-000-1,09581-000-000,2019,01123 NW 14TH  AVE,29.664832,-82.336948,POINT (-82.336948 29.664832000000004),GAINESVILLE,FL,32601,1,2,4,4,772
09016-010-031-1,09016-010-031,2019,01734 NW 17TH  LN,29.667934,-82.345655,POINT (-82.345655 29.667934),GAINESVILLE,FL,32605,5,8,2,4,770
07897-003-005-1,07897-003-005,2019,01804 NW 42ND  AVE,29.692166,-82.345815,POINT (-82.345815 29.692166),GAINESVILLE,FL,32605,5,9,2,4,770
08641-000-000-1,08641-000-000,2019,00926 NW 24TH  AVE,29.674835,-82.334484,POINT (-82.334484 29.674835),GAINESVILLE,FL,32609,4,3,2,4,766
08874-011-000-1,08874-011-000,2019,3214 NW 20TH  ST,29.683186,-82.349484,POINT (-82.349484 29.683186000000003),GAINESVILLE,FL,32605,5,9,2,4,770
08874-011-000-2,08874-011-000,2019,3214 NW 20TH  ST,29.683186,-82.349484,POINT (-82.349484 29.683186000000003),GAINESVILLE,FL,32605,5,9,2,4,770
15600-021-000-1,15600-021-000,2019,01080 SW 11TH  TER,29.640695,-82.336997,POINT (-82.336997 29.640695),GAINESVILLE,FL,32601,1,11,1,1,772
06444-003-000-1,06444-003-000,2019,00101 SW 23RD  TER,29.651116,-82.357099,POINT (-82.357099 29.651116),GAINESVILLE,FL,32607,7,16,3,6,768
06444-013-000-1,06444-013-000,2019,00020 SW 23RD  ST,29.65154,-82.356372,POINT (-82.356372 29.65154),GAINESVILLE,FL,32607,7,16,3,6,768
06091-100-038-1,06091-100-038,2019,03773 NW 26TH  TER,29.687466,-82.361291,POINT (-82.361291 29.687466000000004),GAINESVILLE,FL,32605,5,18,2,7,770
06083-009-023-1,06083-009-023,2019,04716 NW 29TH  TER,29.698152,-82.365834,POINT (-82.365834 29.698152),GAINESVILLE,FL,32605,5,18,2,7,770
12436-009-000-1,12436-009-000,2014,00710 NE 9TH  ST,29.658182,-82.314794,POINT (-82.314794 29.658182),GAINESVILLE,FL,32601,1,13,4,2,772
06102-601-000-1,06102-601-000,2019,03450 NW 37TH  AVE,29.688312,-82.373056,POINT (-82.373056 29.688312000000003),GAINESVILLE,FL,32605,5,8,3,7,770
10600-096-000-1,10600-096-000,2019,00805 NE 9TH  ST,29.659552,-82.314789,POINT (-82.31478900000002 29.659552),GAINESVILLE,FL,32601,1,13,4,2,772
10600-096-000-2,10600-096-000,2019,00805 NE 9TH  ST,29.659552,-82.314789,POINT (-82.31478900000002 29.659552),GAINESVILLE,FL,32601,1,13,4,2,772
14823-003-000-1,14823-003-000,2019,02132 NW 4TH  PL,29.655317,-82.352569,POINT (-82.35256900000002 29.655317),GAINESVILLE,FL,32603,3,16,4,6,771
06076-060-096-1,06076-060-096,2019,04225 NW 26TH  TER,29.692985,-82.361824,POINT (-82.361824 29.692985),GAINESVILLE,FL,32605,5,18,2,7,770
06482-024-000-1,06482-024-000,2019,00630 NW 34TH  TER,29.657389,-82.373259,POINT (-82.373259 29.657389),GAINESVILLE,FL,32607,7,27,3,6,768
06482-031-000-1,06482-031-000,2019,00631 NW 36TH  ST,29.657397,-82.376455,POINT (-82.376455 29.657397),GAINESVILLE,FL,32607,7,27,3,6,768
06484-023-000-1,06484-023-000,2019,00611 NW 36TH  TER,29.656839,-82.377441,POINT (-82.377441 29.656839),GAINESVILLE,FL,32607,7,27,3,6,768
07916-004-000-1,07916-004-000,2019,04123 NW 20TH  TER,29.691622,-82.34978,POINT (-82.34978 29.691622),GAINESVILLE,FL,32605,5,9,2,4,770
06482-036-000-1,06482-036-000,2019,00621 NW 35TH  ST,29.657118,-82.374853,POINT (-82.374853 29.657118000000004),GAINESVILLE,FL,32607,7,27,3,6,768
06436-001-037-1,06436-001-037,2014,02927 NW 10TH  PL,29.662714,-82.366739,POINT (-82.366739 29.662714),GAINESVILLE,FL,32605,5,16,3,6,770
06485-002-000-1,06485-002-000,2019,03404 NW 7TH  PL,29.658676,-82.373056,POINT (-82.373056 29.658676),GAINESVILLE,FL,32607,7,27,3,6,768
16107-061-000-1,16107-061-000,2019,01222 SE 19TH  ST,29.639553,-82.30027,POINT (-82.30027 29.639553000000003),GAINESVILLE,FL,32641,9,5,1,2,1082
09635-000-000-1,09635-000-000,2019,00907 NW 13TH  AVE,29.663928,-82.334236,POINT (-82.334236 29.663928),GAINESVILLE,FL,32601,1,2,4,4,772
09203-000-000-1,09203-000-000,2019,00840 NW 20TH  ST,29.660117,-82.349295,POINT (-82.349295 29.660117),GAINESVILLE,FL,32603,3,16,4,4,771
06494-006-000-1,06494-006-000,2014,03453 NW 1ST  CT,29.653079,-82.374191,POINT (-82.374191 29.653078999999998),GAINESVILLE,FL,32607,7,27,3,6,768
06014-015-032-1,06014-015-032,2019,06603 NW 28TH  TER,29.715026,-82.36458,POINT (-82.36458 29.715026000000005),GAINESVILLE,FL,32653,10,37,2,7,1079
10856-043-000-1,10856-043-000,2019,00811 NE 24TH  ST,29.659638,-82.293682,POINT (-82.293682 29.659638),GAINESVILLE,FL,32641,9,14,1,2,1082
06438-014-000-1,06438-014-000,2019,01330 NW 25TH  TER,29.664742,-82.361064,POINT (-82.361064 29.664742000000004),GAINESVILLE,FL,32605,5,16,3,6,770
08203-065-000-1,08203-065-000,2019,02924 NE 14TH  DR,29.679835,-82.307672,POINT (-82.307672 29.679835),GAINESVILLE,FL,32609,4,12,1,2,766
06081-004-015-1,06081-004-015,2014,04224 NW 31ST  TER,29.692996,-82.368706,POINT (-82.368706 29.692996),GAINESVILLE,FL,32605,5,18,2,7,770
08482-010-000-1,08482-010-000,2019,3514 NW 6TH  ST,29.685258,-82.330751,POINT (-82.330751 29.685258),GAINESVILLE,FL,32609,4,3,2,4,766
08482-010-000-2,08482-010-000,2019,3514 NW 6TH  ST,29.685258,-82.330751,POINT (-82.330751 29.685258),GAINESVILLE,FL,32609,4,3,2,4,766
10511-000-000-1,10511-000-000,2019,01204 NE 10TH  AVE,29.660736,-82.309939,POINT (-82.30993900000001 29.660736000000004),GAINESVILLE,FL,32601,1,13,4,2,772
06391-011-000-1,06391-011-000,2019,01920 NW 39TH  TER,29.670657,-82.383127,POINT (-82.383127 29.670657000000002),GAINESVILLE,FL,32605,5,35,3,6,770
06482-063-000-1,06482-063-000,2019,00537 NW 34TH  TER,29.656271,-82.373247,POINT (-82.373247 29.656271),GAINESVILLE,FL,32607,7,27,3,6,768
08371-000-000-1,08371-000-000,2019,03317 NW 4TH  ST,29.683563,-82.328307,POINT (-82.328307 29.683562999999996),GAINESVILLE,FL,32609,4,3,2,4,766
12559-001-000-1,12559-001-000,2019,00541 NE 11TH  ST,29.656987,-82.311766,POINT (-82.311766 29.656987),GAINESVILLE,FL,32601,1,13,4,2,772
10623-018-000-1,10623-018-000,2019,02038 NE 9TH  ST,29.671623,-82.314793,POINT (-82.314793 29.671622999999997),GAINESVILLE,FL,32609,4,12,2,2,766
06081-002-006-1,06081-002-006,2019,04001 NW 31ST  TER,29.690051,-82.368718,POINT (-82.368718 29.690051000000004),GAINESVILLE,FL,32605,5,18,2,7,770
06454-006-000-1,06454-006-000,2019,02701 NW 3RD  AVE,29.654099,-82.363046,POINT (-82.363046 29.654099),GAINESVILLE,FL,32607,7,16,3,6,768
09406-000-000-1,09406-000-000,2019,01125 NW 10TH  AVE,29.66119,-82.336994,POINT (-82.336994 29.661190000000005),GAINESVILLE,FL,32601,1,2,4,4,772
06076-050-045-1,06076-050-045,2019,04716 NW 23RD  TER,29.698365,-82.355919,POINT (-82.355919 29.698365000000003),GAINESVILLE,FL,32605,5,18,2,7,770
12318-000-000-1,12318-000-000,2019,621 NE BOULEVARD,29.657454,-82.319746,POINT (-82.319746 29.657454),GAINESVILLE,FL,32601,1,13,4,2,772
06083-008-006-1,06083-008-006,2019,04923 NW 30TH  TER,29.700069,-82.367612,POINT (-82.36761200000001 29.700068999999996),GAINESVILLE,FL,32605,5,18,2,7,770
12742-000-000-1,12742-000-000,2019,01016 SE 7TH  AVE,29.645797,-82.313161,POINT (-82.313161 29.645797),GAINESVILLE,FL,32601,1,5,1,1,772
08747-000-000-1,08747-000-000,2019,00702 NW 30TH  AVE,29.680063,-82.331434,POINT (-82.331434 29.680063),GAINESVILLE,FL,32609,4,3,2,4,766
06391-030-000-1,06391-030-000,2019,01902 NW 39TH  DR,29.670331,-82.384205,POINT (-82.38420500000001 29.670331000000004),GAINESVILLE,FL,32605,5,35,3,6,770
08232-012-000-1,08232-012-000,2019,02939 NE 9TH  ST,29.680094,-82.31479,POINT (-82.31479 29.680094),GAINESVILLE,FL,32609,4,12,1,2,766
06067-050-276-1,06067-050-276,2019,04349 NW 34TH  DR,29.694298,-82.37387,POINT (-82.37387 29.694298000000003),GAINESVILLE,FL,32605,5,17,2,7,770
06572-012-055-1,06572-012-055,2019,00255 NW 48TH  BLVD,29.654828,-82.394524,POINT (-82.394524 29.654828000000002),GAINESVILLE,FL,32607,7,33,3,6,768
08107-001-000-1,08107-001-000,2019,01019 NW 43RD  AVE,29.693381,-82.335712,POINT (-82.335712 29.693381000000002),GAINESVILLE,FL,32609,4,3,1,4,766
09615-000-000-1,09615-000-000,2019,00821 NW 14TH  AVE,29.664825,-82.333633,POINT (-82.333633 29.664825),GAINESVILLE,FL,32601,1,2,4,4,772
16054-010-000-1,16054-010-000,2019,00851 SE 23RD  ST,29.643963,-82.294408,POINT (-82.294408 29.643962999999996),GAINESVILLE,FL,32641,9,5,1,2,1082
07917-028-000-1,07917-028-000,2014,04005 NW 21ST  DR,29.690534,-82.353114,POINT (-82.353114 29.690533999999996),GAINESVILLE,FL,32605,5,18,2,4,770
06482-010-000-1,06482-010-000,2019,03532 NW 7TH  AVE,29.657912,-82.375817,POINT (-82.375817 29.657912),GAINESVILLE,FL,32607,7,27,3,6,768
07915-003-017-1,07915-003-017,2019,01927 NW 43RD  AVE,29.693644,-82.348416,POINT (-82.348416 29.693644),GAINESVILLE,FL,32605,5,9,2,4,770
06081-004-029-1,06081-004-029,2019,04210 NW 32ND  ST,29.692529,-82.369662,POINT (-82.369662 29.692528999999997),GAINESVILLE,FL,32605,5,18,2,7,770
06091-020-083-1,06091-020-083,2019,03204 NW 25TH  TER,29.682273,-82.358988,POINT (-82.358988 29.682273),GAINESVILLE,FL,32605,5,18,2,7,770
08201-048-000-1,08201-048-000,2019,02603 NE 12TH  ST,29.676197,-82.310468,POINT (-82.310468 29.676197),GAINESVILLE,FL,32609,4,12,2,2,766
10600-086-000-1,10600-086-000,2019,00915 NE 9TH  AVE,29.660082,-82.314096,POINT (-82.314096 29.660082),GAINESVILLE,FL,32601,1,13,4,2,772
10600-086-000-2,10600-086-000,2019,00915 NE 9TH  AVE,29.660082,-82.314096,POINT (-82.314096 29.660082),GAINESVILLE,FL,32601,1,13,4,2,772
09637-000-000-1,09637-000-000,2019,00925 NW 13TH  AVE,29.663937,-82.334844,POINT (-82.334844 29.663937),GAINESVILLE,FL,32601,1,2,4,4,772
06549-062-000-1,06549-062-000,2014,05211 NW 4TH  PL,29.656585,-82.398874,POINT (-82.398874 29.656585000000003),GAINESVILLE,FL,32607,7,33,3,6,768
08197-004-010-1,08197-004-010,2019,02902 NE 17TH  TER,29.679094,-82.302119,POINT (-82.302119 29.679094),GAINESVILLE,FL,32609,4,12,1,2,766
09333-000-000-1,09333-000-000,2019,02008 NW 7TH  ST,29.670987,-82.331659,POINT (-82.331659 29.670987000000004),GAINESVILLE,FL,32609,4,2,4,4,766
06365-010-006-1,06365-010-006,2019,05320 NW 8TH  AVE,29.659603,-82.399928,POINT (-82.399928 29.659603),GAINESVILLE,FL,32605,5,35,3,6,770
06363-100-022-1,06363-100-022,2019,01219 NW 55TH  ST,29.663733,-82.401529,POINT (-82.40152900000001 29.663733),GAINESVILLE,FL,32605,5,35,3,6,770
09077-000-000-1,09077-000-000,2019,01403 NW 10TH  AVE,29.661209,-82.34047,POINT (-82.34047 29.661209000000003),GAINESVILLE,FL,32605,5,16,4,4,770
08870-009-000-1,08870-009-000,2019,01909 NW 31ST  PL,29.681947,-82.347765,POINT (-82.347765 29.681947),GAINESVILLE,FL,32605,5,9,2,4,770
06014-020-020-1,06014-020-020,2019,05631 NW 26TH  ST,29.706631,-82.361015,POINT (-82.361015 29.706631),GAINESVILLE,FL,32653,10,37,2,7,1079
15936-000-000-1,15936-000-000,2019,00403 SE 14TH  PL,29.637068,-82.317408,POINT (-82.317408 29.637068),GAINESVILLE,FL,32601,1,5,1,1,772
06466-002-000-1,06466-002-000,2019,00315 NW 28TH  ST,29.655494,-82.36455,POINT (-82.36455 29.655494),GAINESVILLE,FL,32607,7,16,3,6,768
15380-000-000-1,15380-000-000,2019,00617 NW 19TH  ST,29.657178,-82.34781,POINT (-82.34781 29.657178),GAINESVILLE,FL,32603,3,16,4,6,771
06391-025-000-1,06391-025-000,2019,03939 NW 16TH  BLVD,29.671444,-82.383292,POINT (-82.38329200000001 29.671444000000005),GAINESVILLE,FL,32605,5,35,3,6,770
10919-008-000-1,10919-008-000,2019,715 NE 21ST  ST,29.657943,-82.297521,POINT (-82.297521 29.657943000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
10919-008-000-2,10919-008-000,2019,715 NE 21ST  ST,29.657943,-82.297521,POINT (-82.297521 29.657943000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
10919-008-000-3,10919-008-000,2019,715 NE 21ST  ST,29.657943,-82.297521,POINT (-82.297521 29.657943000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
15601-036-000-1,15601-036-000,2019,01073 SW 11TH  AVE,29.64,-82.336305,POINT (-82.336305 29.64),GAINESVILLE,FL,32601,1,11,1,1,772
10919-008-000-4,10919-008-000,2019,715 NE 21ST  ST,29.657943,-82.297521,POINT (-82.297521 29.657943000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
10919-008-000-5,10919-008-000,2019,715 NE 21ST  ST,29.657943,-82.297521,POINT (-82.297521 29.657943000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
10919-008-000-6,10919-008-000,2019,715 NE 21ST  ST,29.657943,-82.297521,POINT (-82.297521 29.657943000000003),GAINESVILLE,FL,32641,9,14,1,2,1082
15940-001-000-2,15940-001-000,2019,405 SE 14TH  PL,29.637226,-82.317164,POINT (-82.317164 29.637226),GAINESVILLE,FL,32601,1,5,1,1,772
06015-220-058-1,06015-220-058,2019,03429 NW 62ND  PL,29.711274,-82.373349,POINT (-82.373349 29.711274000000003),GAINESVILLE,FL,32653,10,37,2,5,1079
06014-026-021-1,06014-026-021,2019,06503 NW 27TH  ST,29.71405,-82.362796,POINT (-82.362796 29.71405),GAINESVILLE,FL,32653,10,37,2,7,1079
08197-004-006-1,08197-004-006,2019,02831 NE 17TH  DR,29.678857,-82.30299,POINT (-82.30299 29.678857),GAINESVILLE,FL,32609,4,12,1,2,766
08786-000-000-1,08786-000-000,2019,03129 NW 11TH  ST,29.681322,-82.335864,POINT (-82.335864 29.681322),GAINESVILLE,FL,32609,4,3,2,4,766
06102-087-000-1,06102-087-000,2019,03423 NW 33RD  LN,29.683646,-82.373053,POINT (-82.373053 29.683646),GAINESVILLE,FL,32605,5,8,3,7,770
08197-007-064-1,08197-007-064,2019,02907 NE 18TH  DR,29.679501,-82.301228,POINT (-82.301228 29.679501),GAINESVILLE,FL,32609,4,12,1,2,766
06082-077-000-1,06082-077-000,2019,03018 NW 39TH  PL,29.689612,-82.367403,POINT (-82.367403 29.689612000000004),GAINESVILLE,FL,32605,5,18,2,7,770
07918-002-000-1,07918-002-000,2019,04103 NW 21ST  TER,29.691388,-82.352283,POINT (-82.352283 29.691388000000003),GAINESVILLE,FL,32605,5,18,2,4,770
06097-019-000-1,06097-019-000,2019,02800 NW 30TH  TER,29.677738,-82.367512,POINT (-82.367512 29.677738000000005),GAINESVILLE,FL,32605,5,8,2,7,770
06095-008-003-1,06095-008-003,2014,03300 NW 27TH  AVE,29.677045,-82.371024,POINT (-82.371024 29.677045),GAINESVILLE,FL,32605,5,8,2,7,770
06109-008-000-1,06109-008-000,2019,03551 NW 35TH  PL,29.685371,-82.375964,POINT (-82.375964 29.685371000000004),GAINESVILLE,FL,32605,5,8,3,7,770
09474-000-000-1,09474-000-000,2019,00616 NW 8TH  PL,29.659823,-82.331519,POINT (-82.331519 29.659823),GAINESVILLE,FL,32601,1,2,4,1,772
06392-001-035-1,06392-001-035,2019,04003 NW 17TH  PL,29.668571,-82.385557,POINT (-82.385557 29.668570999999996),GAINESVILLE,FL,32605,5,35,3,6,770
06579-054-062-1,06579-054-062,2019,00242 NW 50TH  BLVD,29.655097,-82.396257,POINT (-82.396257 29.655097),GAINESVILLE,FL,32607,7,33,3,6,768
10858-020-000-1,10858-020-000,2019,01003 NE 22ND  ST,29.661283,-82.296015,POINT (-82.296015 29.661283000000005),GAINESVILLE,FL,32641,9,14,1,2,1082
06020-030-064-1,06020-030-064,2019,04030 NW 59TH  AVE,29.708992,-82.384671,POINT (-82.384671 29.708992),GAINESVILLE,FL,32653,10,37,2,5,1079
06076-060-068-1,06076-060-068,2019,02601 NW 44TH  PL,29.695327,-82.3607,POINT (-82.3607 29.695327),GAINESVILLE,FL,32605,5,18,2,7,770
13749-000-000-1,13749-000-000,2019,00306 NW 8TH  ST,29.654054,-82.332931,POINT (-82.332931 29.654054),GAINESVILLE,FL,32601,1,1,1,1,772
06083-013-034-1,06083-013-034,2019,03239 NW 46TH  AVE,29.696771,-82.370824,POINT (-82.370824 29.696771),GAINESVILLE,FL,32605,5,18,2,7,770
07929-125-070-1,07929-125-070,2019,04020 NW 17TH  TER,29.690752,-82.345019,POINT (-82.345019 29.690752),GAINESVILLE,FL,32605,5,9,2,4,770
06549-064-000-1,06549-064-000,2014,05121 NW 4TH  PL,29.65658,-82.3983,POINT (-82.3983 29.65658),GAINESVILLE,FL,32607,7,33,3,6,768
13771-010-000-1,13771-010-000,2019,00910 NW 7TH  AVE,29.657504,-82.334322,POINT (-82.334322 29.657504000000003),GAINESVILLE,FL,32601,1,1,1,1,772
08992-010-018-1,08992-010-018,2019,02284 NW 37TH  PL,29.687237,-82.354829,POINT (-82.35482900000001 29.687237),GAINESVILLE,FL,32605,5,18,2,7,770
05977-326-000-1,05977-326-000,2019,8678 NW 41ST  ST,,,,GAINESVILLE,FL,32653,,,,,
06067-020-118-1,06067-020-118,2019,04527 NW 37TH  TER,29.696485,-82.378569,POINT (-82.37856900000001 29.696485),GAINESVILLE,FL,32605,5,17,2,7,770
06466-032-000-1,06466-032-000,2019,00121 NW 28TH  TER,29.653831,-82.365495,POINT (-82.365495 29.653831000000004),GAINESVILLE,FL,32607,7,16,3,6,768
08986-031-007-1,08986-031-007,2019,03602 NW 18TH  TER,29.685853,-82.346503,POINT (-82.346503 29.685852999999998),GAINESVILLE,FL,32605,5,9,2,4,770
15436-000-000-1,15436-000-000,2019,02020 NW 7TH  PL,29.65886,-82.350262,POINT (-82.350262 29.65886),GAINESVILLE,FL,32603,3,16,4,6,771
06020-020-038-1,06020-020-038,2019,04012 NW 60TH  AVE,29.709679,-82.383694,POINT (-82.383694 29.709679),GAINESVILLE,FL,32653,10,37,2,5,1079
10246-038-000-1,10246-038-000,2019,02013 NE 6TH  TER,29.671025,-82.318268,POINT (-82.318268 29.671025),GAINESVILLE,FL,32609,4,12,2,2,766
08964-002-000-1,08964-002-000,2014,03805 NW 17TH  ST,29.686798,-82.344568,POINT (-82.344568 29.686798000000003),GAINESVILLE,FL,32605,5,9,2,4,770
08202-090-000-1,08202-090-000,2019,02904 NE 11TH  TER,29.679061,-82.311303,POINT (-82.311303 29.679061),GAINESVILLE,FL,32609,4,12,1,2,766
08202-129-000-1,08202-129-000,2019,02823 NE 10TH  DR,29.678244,-82.313306,POINT (-82.313306 29.678244000000003),GAINESVILLE,FL,32609,4,12,1,2,766
10840-001-000-1,10840-001-000,2019,00813 NE 17TH  DR,29.659615,-82.302294,POINT (-82.302294 29.659615),GAINESVILLE,FL,32641,9,14,1,2,1082
16107-030-000-1,16107-030-000,2019,01228 SE 19TH  TER,29.639406,-82.299402,POINT (-82.299402 29.639406),GAINESVILLE,FL,32641,9,5,1,2,1082
06014-022-068-1,06014-022-068,2019,05911 NW 28TH  TER,29.708899,-82.364567,POINT (-82.364567 29.708899000000002),GAINESVILLE,FL,32653,10,37,2,7,1079
15056-000-000-1,15056-000-000,2019,01905 NW 5TH  AVE,29.65584,-82.348037,POINT (-82.348037 29.65584),GAINESVILLE,FL,32603,3,16,4,6,771
06086-000-000-1,06086-000-000,2014,02740 NW 31ST  AVE,29.681362,-82.363617,POINT (-82.363617 29.681362000000004),GAINESVILLE,FL,32605,5,18,2,7,770
06114-066-000-1,06114-066-000,2019,04107 NW 33RD  PL,29.683639,-82.386988,POINT (-82.386988 29.683639),GAINESVILLE,FL,32606,6,8,3,7,769
08231-006-015-1,08231-006-015,2019,03304 NE 12TH  ST,29.683575,-82.310447,POINT (-82.310447 29.683575),GAINESVILLE,FL,32609,4,12,1,2,766
10603-002-000-1,10603-002-000,2019,01127 NE 23RD  AVE,29.673831,-82.310783,POINT (-82.310783 29.673831),GAINESVILLE,FL,32609,4,12,2,2,766
06006-067-211-1,06006-067-211,2019,07950 NW 50TH  WAY,29.727502,-82.395666,POINT (-82.395666 29.727502000000005),GAINESVILLE,FL,32653,10,40,2,5,1079
06082-029-000-1,06082-029-000,2019,02838 NW 41ST  AVE,29.691201,-82.365155,POINT (-82.365155 29.691201000000003),GAINESVILLE,FL,32605,5,18,2,7,770
07931-003-018-1,07931-003-018,2019,03905 NW 19TH  TER,29.688827,-82.348117,POINT (-82.348117 29.688827000000003),GAINESVILLE,FL,32605,5,9,2,4,770
06388-028-000-1,06388-028-000,2019,03819 NW 10TH  PL,29.661988,-82.381769,POINT (-82.38176900000002 29.661988000000004),GAINESVILLE,FL,32605,5,35,3,6,770
06108-011-003-1,06108-011-003,2019,03955 NW 23RD  CIR,29.675905,-82.382535,POINT (-82.382535 29.675905000000004),GAINESVILLE,FL,32605,5,8,3,6,770
09013-005-013-1,09013-005-013,2019,02239 NW 20TH  CT,29.671368,-82.353426,POINT (-82.353426 29.671368),GAINESVILLE,FL,32605,5,8,2,4,770
06076-060-008-1,06076-060-008,2019,02701 NW 42ND  PL,29.692795,-82.362252,POINT (-82.362252 29.692795),GAINESVILLE,FL,32605,5,18,2,7,770
06102-407-000-1,06102-407-000,2019,03508 NW 37TH  AVE,29.687563,-82.373973,POINT (-82.373973 29.687563),GAINESVILLE,FL,32605,5,8,3,7,770
06020-050-040-1,06020-050-040,2014,03915 NW 65TH  AVE,29.713191,-82.381976,POINT (-82.381976 29.713191),GAINESVILLE,FL,32653,10,37,2,5,1079
12582-013-000-1,12582-013-000,2019,00531 NE 7TH  TER,29.656737,-82.316463,POINT (-82.316463 29.656737),GAINESVILLE,FL,32601,1,13,4,2,772
06488-010-015-1,06488-010-015,2019,03647 NW 7TH  PL,29.658735,-82.377818,POINT (-82.377818 29.658734999999997),GAINESVILLE,FL,32607,7,27,3,6,768
10600-084-000-1,10600-084-000,2019,00826 NE 9TH  ST,29.659881,-82.314796,POINT (-82.314796 29.659881),GAINESVILLE,FL,32601,1,13,4,2,772
08877-005-000-1,08877-005-000,2019,02035 NW 34TH  AVE,29.684108,-82.350591,POINT (-82.350591 29.684108000000002),GAINESVILLE,FL,32605,5,9,2,4,770
06400-041-000-1,06400-041-000,2014,03415 NW 13TH  AVE,29.664506,-82.373109,POINT (-82.37310900000001 29.664506),GAINESVILLE,FL,32605,5,35,3,6,770
07915-002-005-1,07915-002-005,2014,04327 NW 21ST  ST,29.694796,-82.351427,POINT (-82.351427 29.694796),GAINESVILLE,FL,32605,5,9,2,4,770
06363-100-014-1,06363-100-014,2019,01217 NW 55TH  ST,29.663767,-82.401529,POINT (-82.40152900000001 29.663733),GAINESVILLE,FL,32605,5,35,3,6,770
11129-004-000-1,11129-004-000,2019,02119 NE 3RD  PL,29.654368,-82.29642,POINT (-82.29642 29.654368),GAINESVILLE,FL,32641,9,14,1,2,1082
06397-031-000-1,06397-031-000,2019,01324 NW 40TH  TER,29.665666,-82.385226,POINT (-82.385226 29.665665999999998),GAINESVILLE,FL,32605,5,35,3,6,770
