state,county,geoid,lives
FL,Broward,12011070211,36.3
FL,Broward,12011070304,38.6
FL,Broward,12011070305,35.4
FL,Broward,12011070306,40.3
FL,Broward,12011070310,37.5
FL,Broward,12011070311,39.1
FL,Broward,12011070312,39.4
FL,Broward,12011070313,38.2
FL,Broward,12011070314,39.7
FL,Broward,12011070315,42.5
FL,Broward,12011070316,42.3
FL,Broward,12011070317,33.7
FL,Broward,12011070318,41.9
FL,Broward,12011070319,37.6
FL,Broward,12011070320,37.5
FL,Broward,12011070321,45.5
FL,Broward,12011070322,38.1
FL,Broward,12011070401,41.2
FL,Broward,12011070402,42.3
FL,Broward,12011070403,36.9
FL,Broward,12011070404,44
FL,Broward,12011070405,41.3
FL,Broward,12011070501,42.6
FL,Broward,12011070502,30.5
FL,Broward,12011070601,33.2
FL,Broward,12011070602,35.4
FL,Broward,12011080101,49.8
FL,Broward,12011080102,43.5
FL,Broward,12011080103,37.6
FL,Broward,12011080200,54.6
FL,Broward,12011080402,48.4
FL,Broward,12011080403,36.3
FL,Broward,12011080405,38.1
FL,Broward,12011080406,37.9
FL,Broward,12011080500,31.7
FL,Broward,12011090101,54.3
FL,Broward,12011090102,54.4
FL,Broward,12011090200,46.4
FL,Broward,12011090301,44.4
FL,Broward,12011090302,44.1
FL,Broward,12011090401,41.9
FL,Broward,12011090403,36.9
FL,Broward,12011090404,37.6
FL,Broward,12011090502,41.9
FL,Broward,12011090503,49.9
FL,Broward,12011090504,45.6
FL,Broward,12011090601,38.2
FL,Broward,12011090602,42.1
FL,Broward,12011090700,37
FL,Broward,12011090801,41.8
FL,Broward,12011090802,47.6
FL,Broward,12011090900,44.2
FL,Broward,12011091000,44
FL,Broward,12011091100,33
FL,Broward,12011091201,36.3
FL,Broward,12011091202,36.1
FL,Broward,12011091300,37.9
FL,Broward,12011091400,35.7
FL,Broward,12011091500,34.5
FL,Broward,12011091600,53.3
FL,Broward,12011091701,38.5
FL,Broward,12011091702,37.1
FL,Broward,12011091801,35.6
FL,Broward,12011091802,39.3
FL,Broward,12011091901,42.5
FL,Broward,12011091902,37.3
FL,Broward,12011092000,42
FL,Broward,12011100101,51.9
FL,Broward,12011100103,56
FL,Broward,12011100104,59.6
FL,Broward,12011100105,59.9
FL,Broward,12011100201,42.2
FL,Broward,12011100202,49.8
FL,Broward,12011100300,38.5
FL,Broward,12011100400,31.1
FL,Broward,12011100501,38.9
FL,Broward,12011100502,52
FL,Broward,12011100600,36.2
FL,Broward,12011100700,35
FL,Broward,12011100801,30.2
FL,Broward,12011100802,29.4
FL,Broward,12011110100,37.5
FL,Broward,12011110301,37.5
FL,Broward,12011110302,37.9
FL,Broward,12011110303,41.3
FL,Broward,12011110307,42.7
FL,Broward,12011110308,37.5
FL,Broward,12011110309,44.1
FL,Broward,12011110311,38.6
FL,Broward,12011110312,36.4
FL,Broward,12011110313,33.8
FL,Broward,12011110319,36.4
FL,Broward,12011110320,29.9
FL,Broward,12011110321,38.4
FL,Broward,12011110322,32.8
FL,Broward,12011110323,32
FL,Broward,12011110324,36
FL,Broward,12011110325,34
FL,Broward,12011110326,37.6
FL,Broward,12011110327,36.4
FL,Broward,12011110328,34.2
FL,Broward,12011110330,38.5
FL,Broward,12011110331,38.7
FL,Broward,12011110332,42.1
FL,Broward,12011110333,36.8
FL,Broward,12011110334,77
FL,Broward,12011110335,75.6
FL,Broward,12011110336,30.6
FL,Broward,12011110337,29.5
FL,Broward,12011110338,34.2
FL,Broward,12011110339,51.2
FL,Broward,12011110340,48.5
FL,Broward,12011110341,39.3
FL,Broward,12011110342,31.1
FL,Broward,12011110343,35.3
FL,Broward,12011110402,36.3
FL,Broward,12011110403,35
FL,Broward,12011110404,35.1
FL,Broward,12011110501,34.3
FL,Broward,12011110502,35.3
FL,Broward,12011110600,35.6
FL,Broward,12011980000,40.5
FL,Calhoun,12013010100,38.3
FL,Calhoun,12013010200,42.8
FL,Calhoun,12013010300,38.9
FL,Charlotte,12015010100,41.9
FL,Charlotte,12015010200,54.2
FL,Charlotte,12015010301,63.4
FL,Charlotte,12015010302,46.2
FL,Charlotte,12015010401,66
FL,Charlotte,12015010402,66.5
FL,Charlotte,12015010403,64.9
FL,Charlotte,12015010404,66.4
FL,Charlotte,12015010501,53.5
FL,Charlotte,12015010502,59.4
FL,Charlotte,12015020101,50.2
FL,Charlotte,12015020103,50.3
FL,Charlotte,12015020104,69.4
FL,Charlotte,12015020201,48.8
FL,Charlotte,12015020202,49.3
FL,Charlotte,12015020301,56.1
FL,Charlotte,12015020302,46.7
FL,Charlotte,12015020303,47.8
FL,Charlotte,12015020400,55.3
FL,Charlotte,12015020501,55.8
FL,Charlotte,12015020502,58.8
FL,Charlotte,12015020601,49.6
FL,Charlotte,12015020602,49.5
FL,Charlotte,12015020700,52.9
FL,Charlotte,12015020800,40.5
FL,Charlotte,12015020900,49.2
FL,Charlotte,12015021001,50.2
FL,Charlotte,12015021002,67
FL,Charlotte,12015021003,62.5
FL,Charlotte,12015030100,51.6
FL,Charlotte,12015030200,50.6
FL,Charlotte,12015030301,63.9
FL,Charlotte,12015030302,68.3
FL,Charlotte,12015030401,63.8
FL,Charlotte,12015030402,63.7
FL,Charlotte,12015030501,59.2
FL,Charlotte,12015030502,62.7
FL,Charlotte,12015030503,60.9
FL,Citrus,12017450101,60.8
FL,Citrus,12017450102,56.3
FL,Citrus,12017450201,52.5
FL,Citrus,12017450202,49.1
FL,Citrus,12017450302,42.6
FL,Citrus,12017450303,52.5
FL,Citrus,12017450304,56.7
FL,Citrus,12017450400,51.6
FL,Citrus,12017450500,55.6
FL,Citrus,12017450601,51.1
FL,Citrus,12017450602,53.1
FL,Citrus,12017450701,62.1
FL,Citrus,12017450702,49.9
FL,Citrus,12017450800,52.8
FL,Citrus,12017450901,57.1
