genus,natural_newborn_avg,csect_newborn_avg,natural_newborn_cnt,csect_newborn_cnt,natural_4m_avg,csect_4m_avg,natural_4m_cnt,csect_4m_cnt,natural_12m_avg,csect_12m_avg,natural_12m_cnt,csect_12m_cnt,natural_mom_avg,csect_mom_avg,natural_mom_cnt,csect_mom_cnt
Streptococcus,0.0435152727,0.1086654462,68,13,0.0134702048,0.0393503790,81,15,0.0049708380,0.0127847786,81,14,0.0071830251,0.0116904928,81,15
Subdoligranulum,0.0000013478,0.0000000000,1,0,0.0000037192,0.0000000000,4,0,0.0002839069,0.0001998878,46,8,0.0008873219,0.0016501718,83,15
Sutterella,0.0034791479,0.0000000000,13,0,0.0040707582,0.0005512681,18,3,0.0064493520,0.0044988501,27,7,0.0046295818,0.0323649714,49,10
Turicibacter,0.0000010535,0.0000000000,2,0,0.0000021576,0.0000000000,3,0,0.0006642173,0.0003729665,40,7,0.0009240022,0.0001861249,73,11
Ureaplasma,0.0000000000,0.0000000000,0,0,0.0000005284,0.0000000000,1,0,0.0000000000,0.0000000000,0,0,0.0000003864,0.0000062728,1,1
Veillonella,0.0029071334,0.0418761860,15,6,0.0271467469,0.0237411268,65,13,0.0150203237,0.0083585286,72,12,0.0006109008,0.0143947504,46,8
Victivallis,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000012001,0.0000063412,1,1,0.0002372753,0.0001801841,33,4
Xanthomonas,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Xenorhabdus,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Yersinia,0.0000000000,0.0000000000,0,0,0.0000688093,0.0000000000,1,0,0.0000000000,0.0000000000,0,0,0.0000003301,0.0000000000,1,0
