year,state,species,pounds,dollars,tons
1996,Maine,"COD, ATLANTIC",3065,1853,1.5325
1996,Maine,"COD, ATLANTIC",844257,884005,422.1285
1996,Maine,"COD, ATLANTIC",3486320,2803835,1743.16
1996,Maine,"COD, ATLANTIC",530487,388408,265.2435
1996,Massachusetts,"COD, ATLANTIC",285200,124292,142.6
1996,Massachusetts,"COD, ATLANTIC",5798557,4773987,2899.2785
1996,Massachusetts,"COD, ATLANTIC",35745,34815,17.8725
1996,Massachusetts,"COD, ATLANTIC",12879137,11266763,6439.5685
1996,Massachusetts,"COD, ATLANTIC",4175918,3636943,2087.959
1996,New Hampshire,"COD, ATLANTIC",146349,64192,73.1745
1996,New Hampshire,"COD, ATLANTIC",335323,230628,167.6615
1996,New Hampshire,"COD, ATLANTIC",312043,264997,156.0215
1996,New Hampshire,"COD, ATLANTIC",1989557,1578523,994.7785
1996,New Jersey,"COD, ATLANTIC",1484,1994,0.742
1996,New Jersey,"COD, ATLANTIC",2,4,0.001
1996,New Jersey,"COD, ATLANTIC",80,84,0.04
1996,Rhode Island,"COD, ATLANTIC",31869,24626,15.9345
1996,Rhode Island,"COD, ATLANTIC",105187,85936,52.5935
1996,Rhode Island,"COD, ATLANTIC",237652,223395,118.826
1996,Rhode Island,"COD, ATLANTIC",882,596,0.441
1996,Rhode Island,"COD, ATLANTIC",17909,25608,8.9545
1995,Connecticut,"COD, ATLANTIC",21215,27578,10.6075
1995,Maine,"COD, ATLANTIC",15156,11658,7.578
1995,Maine,"COD, ATLANTIC",1174604,1291894,587.302
1995,Maine,"COD, ATLANTIC",3346218,3113395,1673.109
1995,Maine,"COD, ATLANTIC",786285,668881,393.1425
1995,Maine,"COD, ATLANTIC",1211,1242,0.6055
1995,Maryland,"COD, ATLANTIC",19,9,0.0095
1995,Maryland,"COD, ATLANTIC",12,8,0.006
1995,Massachusetts,"COD, ATLANTIC",5993806,5379250,2996.903
1995,Massachusetts,"COD, ATLANTIC",9937388,10048577,4968.694
1995,Massachusetts,"COD, ATLANTIC",4979621,4623636,2489.8105
1995,Massachusetts,"COD, ATLANTIC",71078,68719,35.539
1995,Massachusetts,"COD, ATLANTIC",262131,135083,131.0655
1995,New Hampshire,"COD, ATLANTIC",172296,80601,86.148
1995,New Hampshire,"COD, ATLANTIC",328168,275055,164.084
1995,New Hampshire,"COD, ATLANTIC",1738720,1624282,869.36
1995,New Hampshire,"COD, ATLANTIC",180,78,0.09
1995,New Hampshire,"COD, ATLANTIC",521655,487084,260.8275
1995,New Jersey,"COD, ATLANTIC",1314,1595,0.657
1995,New Jersey,"COD, ATLANTIC",351,207,0.1755
1995,New Jersey,"COD, ATLANTIC",42,54,0.021
1995,New Jersey,"COD, ATLANTIC",317,445,0.1585
1995,Rhode Island,"COD, ATLANTIC",9479,13956,4.7395
1995,Rhode Island,"COD, ATLANTIC",9680,4696,4.84
1995,Rhode Island,"COD, ATLANTIC",250941,268786,125.4705
1995,Rhode Island,"COD, ATLANTIC",152767,151022,76.3835
1995,Rhode Island,"COD, ATLANTIC",60175,54424,30.0875
1994,Connecticut,"COD, ATLANTIC",86580,59000,43.29
1994,Maine,"COD, ATLANTIC",14282,9987,7.141
1994,Maine,"COD, ATLANTIC",1573,1613,0.7865
1994,Maine,"COD, ATLANTIC",2167265,2160670,1083.6325
1994,Maine,"COD, ATLANTIC",5141324,4733895,2570.662
1994,Maine,"COD, ATLANTIC",925713,803383,462.8565
1994,Maryland,"COD, ATLANTIC",20,13,0.01
1994,Massachusetts,"COD, ATLANTIC",413872,185702,206.936
1994,Massachusetts,"COD, ATLANTIC",6321621,5767659,3160.8105
1994,Massachusetts,"COD, ATLANTIC",13365696,12979303,6682.848
1994,Massachusetts,"COD, ATLANTIC",231921,204214,115.9605
1994,Massachusetts,"COD, ATLANTIC",6665632,6115360,3332.816
1994,New Hampshire,"COD, ATLANTIC",276006,137222,138.003
1994,New Hampshire,"COD, ATLANTIC",304521,275598,152.2605
1994,New Hampshire,"COD, ATLANTIC",725495,666507,362.7475
1994,New Hampshire,"COD, ATLANTIC",1708559,1628673,854.2795
1994,New Jersey,"COD, ATLANTIC",2868,3932,1.434
1994,New Jersey,"COD, ATLANTIC",386,162,0.193
1994,Rhode Island,"COD, ATLANTIC",83556,70221,41.778
1994,Rhode Island,"COD, ATLANTIC",299618,277228,149.809
1994,Rhode Island,"COD, ATLANTIC",126904,121336,63.452
1994,Rhode Island,"COD, ATLANTIC",24870,9238,12.435
1994,Rhode Island,"COD, ATLANTIC",50925,53849,25.4625
1993,Connecticut,"COD, ATLANTIC",218256,125992,109.128
1993,Maine,"COD, ATLANTIC",54617,37754,27.3085
1993,Maine,"COD, ATLANTIC",1211037,991716,605.5185
1993,Maine,"COD, ATLANTIC",4305553,3718531,2152.7765
1993,Maine,"COD, ATLANTIC",3638921,3210575,1819.4605
1993,Maine,"COD, ATLANTIC",7591,5047,3.7955
1993,Maryland,"COD, ATLANTIC",14,4,0.007
1993,Massachusetts,"COD, ATLANTIC",95827,90471,47.9135
1993,Massachusetts,"COD, ATLANTIC",760057,520065,380.0285
1993,Massachusetts,"COD, ATLANTIC",11036864,9447748,5518.432
1993,Massachusetts,"COD, ATLANTIC",15100941,14093415,7550.4705
1993,Massachusetts,"COD, ATLANTIC",9514645,8364727,4757.3225
1993,New Hampshire,"COD, ATLANTIC",582531,516370,291.2655
1993,New Hampshire,"COD, ATLANTIC",1298296,1270161,649.148
1993,New Hampshire,"COD, ATLANTIC",827475,738491,413.7375
1993,New Hampshire,"COD, ATLANTIC",253221,148781,126.6105
1993,New Jersey,"COD, ATLANTIC",372,353,0.186
1993,New Jersey,"COD, ATLANTIC",8655,6115,4.3275
1993,New Jersey,"COD, ATLANTIC",24689,33286,12.3445
1993,New Jersey,"COD, ATLANTIC",107,46,0.0535
1993,New Jersey,"COD, ATLANTIC",158,148,0.079
1993,Rhode Island,"COD, ATLANTIC",193312,162219,96.656
1993,Rhode Island,"COD, ATLANTIC",134346,132199,67.173
1993,Rhode Island,"COD, ATLANTIC",10328,14560,5.164
1993,Rhode Island,"COD, ATLANTIC",359823,299992,179.9115
1993,Rhode Island,"COD, ATLANTIC",545910,499502,272.955
1992,Connecticut,"COD, ATLANTIC",76795,44319,38.3975
1992,Maine,"COD, ATLANTIC",117,114,0.0585
1992,Maine,"COD, ATLANTIC",1373328,1028381,686.664
1992,Maine,"COD, ATLANTIC",4657253,3938485,2328.6265
1992,Maine,"COD, ATLANTIC",6908537,5790287,3454.2685
1992,Maine,"COD, ATLANTIC",55953,31966,27.9765
1992,Massachusetts,"COD, ATLANTIC",106244,88927,53.122
1992,Massachusetts,"COD, ATLANTIC",17314072,15738893,8657.036
1992,Massachusetts,"COD, ATLANTIC",12137787,10399927,6068.8935
1992,Massachusetts,"COD, ATLANTIC",1036520,717448,518.26
1992,Massachusetts,"COD, ATLANTIC",11678849,9051699,5839.4245
1992,New Hampshire,"COD, ATLANTIC",258633,113996,129.3165
1992,New Hampshire,"COD, ATLANTIC",625410,546377,312.705
1992,New Hampshire,"COD, ATLANTIC",1148252,1017574,574.126
1992,New Hampshire,"COD, ATLANTIC",1575935,1492048,787.9675
1992,New Jersey,"COD, ATLANTIC",922,277,0.461
1992,New Jersey,"COD, ATLANTIC",2419,2711,1.2095
1992,New Jersey,"COD, ATLANTIC",390,273,0.195
1992,New Jersey,"COD, ATLANTIC",8186,9184,4.093
1992,Rhode Island,"COD, ATLANTIC",224616,148628,112.308
1992,Rhode Island,"COD, ATLANTIC",1039125,860636,519.5625
1992,Rhode Island,"COD, ATLANTIC",601054,478008,300.527
1992,Rhode Island,"COD, ATLANTIC",215117,172728,107.5585
1992,Rhode Island,"COD, ATLANTIC",1672,1335,0.836
1991,Connecticut,"COD, ATLANTIC",227785,153088,113.8925
1991,Maine,"COD, ATLANTIC",420,406,0.21
1991,Maine,"COD, ATLANTIC",4777353,4056205,2388.6765
1991,Maine,"COD, ATLANTIC",3377517,2404160,1688.7585
1991,Maine,"COD, ATLANTIC",12434629,9415512,6217.3145
1991,Maine,"COD, ATLANTIC",589954,409378,294.977
1991,Massachusetts,"COD, ATLANTIC",29174430,24052050,14587.215
1991,Massachusetts,"COD, ATLANTIC",168688,147002,84.344
1991,Massachusetts,"COD, ATLANTIC",15218449,11896649,7609.2245
1991,Massachusetts,"COD, ATLANTIC",16643264,13802598,8321.632
1991,Massachusetts,"COD, ATLANTIC",1248240,751373,624.12
1991,New Hampshire,"COD, ATLANTIC",397667,162955,198.8335
1991,New Hampshire,"COD, ATLANTIC",1082158,862516,541.079
1991,New Hampshire,"COD, ATLANTIC",1088916,956243,544.458
1991,New Hampshire,"COD, ATLANTIC",2080812,1732829,1040.406
1991,New Jersey,"COD, ATLANTIC",1105,1100,0.5525
1991,New Jersey,"COD, ATLANTIC",1368,1637,0.684
1991,New Jersey,"COD, ATLANTIC",8472,7852,4.236
1991,Rhode Island,"COD, ATLANTIC",284698,230755,142.349
1991,Rhode Island,"COD, ATLANTIC",4171,2869,2.0855
1991,Rhode Island,"COD, ATLANTIC",1344237,1037072,672.1185
1991,Rhode Island,"COD, ATLANTIC",1947843,1440706,973.9215
1991,Rhode Island,"COD, ATLANTIC",249086,179088,124.543
1990,Connecticut,"COD, ATLANTIC",424249,237577,212.1245
1990,Maine,"COD, ATLANTIC",12999,11110,6.4995
1990,Maine,"COD, ATLANTIC",7740811,4695974,3870.4055
1990,Maine,"COD, ATLANTIC",2971798,2161176,1485.899
1990,Maine,"COD, ATLANTIC",3934854,2175939,1967.427
1990,Maine,"COD, ATLANTIC",615850,343935,307.925
1990,Maryland,"COD, ATLANTIC",18,13,0.009
1990,Massachusetts,"COD, ATLANTIC",25605614,14641923,12802.807
1990,Massachusetts,"COD, ATLANTIC",160252,114694,80.126
1990,Massachusetts,"COD, ATLANTIC",1534010,770031,767.005
1990,Massachusetts,"COD, ATLANTIC",30068958,20207774,15034.479
1990,Massachusetts,"COD, ATLANTIC",14830821,10561435,7415.4105
1990,New Hampshire,"COD, ATLANTIC",1719556,1199265,859.778
1990,New Hampshire,"COD, ATLANTIC",919269,716928,459.6345
1990,New Hampshire,"COD, ATLANTIC",734267,439846,367.1335
1990,New Hampshire,"COD, ATLANTIC",401363,130996,200.6815
1990,New Jersey,"COD, ATLANTIC",1231,722,0.6155
1990,New Jersey,"COD, ATLANTIC",5091,5363,2.5455
1990,New Jersey,"COD, ATLANTIC",2466,1806,1.233
1990,New Jersey,"COD, ATLANTIC",6216,4633,3.108
1990,Rhode Island,"COD, ATLANTIC",681904,375014,340.952
1990,Rhode Island,"COD, ATLANTIC",1758293,1075320,879.1465
1990,Rhode Island,"COD, ATLANTIC",1033317,690656,516.6585
1990,Rhode Island,"COD, ATLANTIC",173841,114388,86.9205
1990,Rhode Island,"COD, ATLANTIC",5804,3218,2.902
1989,Connecticut,"COD, ATLANTIC",460300,362020,230.15
1989,Maine,"COD, ATLANTIC",1900,960,0.95
1989,Maine,"COD, ATLANTIC",319900,157590,159.95
1989,Maine,"COD, ATLANTIC",2235700,1243106,1117.85
1989,Maine,"COD, ATLANTIC",7540500,4440947,3770.25
1989,Maine,"COD, ATLANTIC",2318600,1420745,1159.3
1989,Massachusetts,"COD, ATLANTIC",29988400,19067873,14994.2
1989,Massachusetts,"COD, ATLANTIC",1633400,712736,816.7
1989,Massachusetts,"COD, ATLANTIC",14179500,8177629,7089.75
1989,Massachusetts,"COD, ATLANTIC",281600,173406,140.8
1989,Massachusetts,"COD, ATLANTIC",12449600,7569627,6224.8
1989,New Hampshire,"COD, ATLANTIC",20000,14681,10.0
1989,New Hampshire,"COD, ATLANTIC",765800,515250,382.9
1989,New Hampshire,"COD, ATLANTIC",1831600,1215646,915.8
1989,New Hampshire,"COD, ATLANTIC",523900,325346,261.95
1989,New Hampshire,"COD, ATLANTIC",308500,98298,154.25
1989,New Jersey,"COD, ATLANTIC",23600,14450,11.8
1989,New Jersey,"COD, ATLANTIC",13300,7123,6.65
1989,New Jersey,"COD, ATLANTIC",42100,29450,21.05
1989,New Jersey,"COD, ATLANTIC",300,170,0.15
1989,Rhode Island,"COD, ATLANTIC",139100,71834,69.55
1989,Rhode Island,"COD, ATLANTIC",2003300,1181872,1001.65
1989,Rhode Island,"COD, ATLANTIC",796600,456941,398.3
1989,Rhode Island,"COD, ATLANTIC",4700,2241,2.35
1989,Rhode Island,"COD, ATLANTIC",390400,189207,195.2
1988,Connecticut,"COD, ATLANTIC",255500,168630,127.75
1988,Maine,"COD, ATLANTIC",285700,117288,142.85
1988,Maine,"COD, ATLANTIC",1755400,826064,877.7
1988,Maine,"COD, ATLANTIC",3545700,1809981,1772.85
1988,Maine,"COD, ATLANTIC",93400,50929,46.7
1988,Maine,"COD, ATLANTIC",2423900,1229294,1211.95
