state,county,geoid,distance,age
FL,Alachua,12001002217,68.55518643,25.1
FL,Alachua,12001002218,68.72138334,26.9
FL,Alachua,12001002219,68.56799787,29.7
FL,Alachua,12001002220,68.69033902,40
FL,Alachua,12001110800,65.63743423,51.3
FL,Baker,12003040101,54.95903733,33.7
FL,Baker,12003040102,53.47056563,39
FL,Baker,12003040201,70.09826858,35.3
FL,Baker,12003040202,59.50104202,36.2
FL,Bay,12005000201,267.8773294,37.5
FL,Bay,12005000202,268.9693483,43.4
FL,Bay,12005000300,250.356035,39.5
FL,Bay,12005000400,255.2138958,41.5
FL,Bay,12005000500,250.3167277,35.6
FL,Bay,12005000600,246.1608543,55
FL,Bay,12005000700,254.3296982,22.2
FL,Bay,12005000803,256.2229932,34.7
FL,Bay,12005000804,254.859145,39.1
FL,Bay,12005000805,256.5030129,39.1
FL,Bay,12005000806,254.9656928,40.1
FL,Bay,12005000900,257.5104998,41
FL,Bay,12005001000,258.4092859,38.8
FL,Bay,12005001100,257.7269172,34.6
FL,Bay,12005001200,258.5412826,33.1
FL,Bay,12005001301,258.3659422,39.1
FL,Bay,12005001302,259.3880313,34.2
FL,Bay,12005001402,259.4912609,43.2
FL,Bay,12005001403,261.186456,42.2
FL,Bay,12005001404,261.9987118,40.9
FL,Bay,12005001501,262.5464275,40.4
FL,Bay,12005001502,261.7601283,44.4
FL,Bay,12005001600,260.4680459,40.4
FL,Bay,12005001700,259.3722851,34.6
FL,Bay,12005001800,259.1790437,38.1
FL,Bay,12005001900,260.2420575,46.5
FL,Bay,12005002000,261.151658,48.9
FL,Bay,12005002200,262.2972769,35.3
FL,Bay,12005002300,263.2146824,40.7
FL,Bay,12005002400,264.4375888,33
FL,Bay,12005002500,264.1953975,49.9
FL,Bay,12005002601,266.4294034,38.4
FL,Bay,12005002603,267.8209157,35.7
FL,Bay,12005002604,267.4884884,40.1
FL,Bay,12005002605,268.2944913,44.4
FL,Bay,12005002606,267.3108241,39.8
FL,Bay,12005002607,263.2647686,45.4
FL,Bay,12005002608,264.4685206,49.7
FL,Bay,12005002701,278.454193,45.1
FL,Bay,12005002702,276.1752154,45.5
FL,Bay,12005002703,273.6227263,40.4
FL,Bay,12005002704,270.3016303,36.2
FL,Bay,12005002705,269.6027343,45.6
FL,Bradford,12007000100,45.9842215,37.6
FL,Bradford,12007000200,53.15484133,38.4
FL,Bradford,12007000300,53.44322343,44.9
FL,Bradford,12007000400,48.61994699,37.5
FL,Brevard,12009060101,86.19523542,45.2
FL,Brevard,12009060102,85.64858598,50.5
FL,Brevard,12009060200,92.46295879,48
FL,Brevard,12009060300,91.23605515,44.5
FL,Brevard,12009060400,93.11083519,46.8
FL,Brevard,12009060500,93.2676643,45.8
FL,Brevard,12009060600,94.97635617,41.4
FL,Brevard,12009060700,94.4642705,31.3
FL,Brevard,12009061001,96.50704196,45.8
FL,Brevard,12009061002,97.39881215,43.6
FL,Brevard,12009061100,97.12165077,49.6
FL,Brevard,12009061201,98.77002054,42.3
FL,Brevard,12009061202,100.8835991,48.2
FL,Brevard,12009062103,108.6250391,46.3
FL,Brevard,12009062104,104.3318482,40.3
FL,Brevard,12009062106,103.6443426,46.2
FL,Brevard,12009062107,108.2799898,47.4
FL,Brevard,12009062108,103.1895847,39.9
FL,Brevard,12009062109,105.0851067,27.4
FL,Brevard,12009062301,111.5205574,33.4
FL,Brevard,12009062302,110.3529195,38
FL,Brevard,12009062400,110.4573876,34.3
FL,Brevard,12009062500,111.6433957,47.6
FL,Brevard,12009062600,112.3421692,34.7
FL,Brevard,12009062800,119.0439719,51.8
FL,Brevard,12009062900,113.199923,42.3
FL,Brevard,12009063000,115.1139576,39.2
FL,Brevard,12009063102,118.1412749,44
FL,Brevard,12009063104,116.0104123,43.3
FL,Brevard,12009063105,115.0705654,42.2
FL,Brevard,12009063106,119.639097,41
FL,Brevard,12009063107,120.202877,53.7
FL,Brevard,12009064102,125.3292975,45.7
FL,Brevard,12009064123,127.3703415,42.6
FL,Brevard,12009064124,126.1930531,44.7
FL,Brevard,12009064125,127.741609,45.8
FL,Brevard,12009064126,126.0584728,45.6
FL,Brevard,12009064127,124.1595768,49.1
FL,Brevard,12009064128,121.706632,47.1
FL,Brevard,12009064201,129.8042133,45.4
FL,Brevard,12009064202,128.3581763,46.9
FL,Brevard,12009064301,128.0515085,40.6
FL,Brevard,12009064302,128.839035,39.3
FL,Brevard,12009064400,129.5238376,43.6
FL,Brevard,12009064500,128.8021392,41.9
FL,Brevard,12009064601,130.9727062,48.9
FL,Brevard,12009064602,129.4817403,55.8
FL,Brevard,12009064700,131.168381,53.6
FL,Brevard,12009064800,132.2254794,44.5
FL,Brevard,12009064901,133.5164818,34.5
FL,Brevard,12009064902,133.6494049,46
FL,Brevard,12009065001,132.2396858,45.7
FL,Brevard,12009065021,133.6253423,41.3
FL,Brevard,12009065022,133.213605,47.8
FL,Brevard,12009065121,136.1343211,43.4
FL,Brevard,12009065122,136.4827824,40.1
FL,Brevard,12009065123,135.6691229,51
FL,Brevard,12009065124,134.3300773,41
FL,Brevard,12009065125,134.9726111,44
FL,Brevard,12009065201,137.2335119,46.8
FL,Brevard,12009065202,137.6301275,42.8
FL,Brevard,12009065231,140.9290468,49
FL,Brevard,12009065234,149.073387,63.7
FL,Brevard,12009065235,147.2535362,69
FL,Brevard,12009065236,144.7970116,53.2
FL,Brevard,12009066101,135.1378182,52.5
FL,Brevard,12009066103,136.5585095,63
FL,Brevard,12009066104,143.6035583,56.4
FL,Brevard,12009066200,133.2741452,49.9
FL,Brevard,12009066301,130.6213295,48
FL,Brevard,12009066302,131.473048,48.3
FL,Brevard,12009066400,129.0073812,50.8
FL,Brevard,12009066500,128.1251795,49.6
FL,Brevard,12009066600,127.6532897,50
FL,Brevard,12009066700,126.4426374,46.8
FL,Brevard,12009066800,125.8325553,31
FL,Brevard,12009066900,124.744476,50
FL,Brevard,12009067100,121.7152268,24.2
FL,Brevard,12009068101,119.0154056,48.3
FL,Brevard,12009068102,118.3023337,53.8
FL,Brevard,12009068200,115.5498538,53.1
FL,Brevard,12009068300,116.0065797,67
FL,Brevard,12009068400,114.3720149,54.9
FL,Brevard,12009068501,113.5468737,53.2
FL,Brevard,12009068502,113.3438307,49.1
FL,Brevard,12009068601,111.4397375,49.8
FL,Brevard,12009068602,112.2718896,52.1
FL,Brevard,12009069100,111.5975285,48.3
FL,Brevard,12009069200,113.2379472,50
FL,Brevard,12009069300,115.6721484,48.7
FL,Brevard,12009069400,121.4548095,49
FL,Brevard,12009069700,111.9351002,43.9
FL,Brevard,12009069801,110.627596,49.4
FL,Brevard,12009069802,112.3800902,44.5
FL,Brevard,12009069901,100.0736231,47.9
FL,Brevard,12009069902,110.8167489,44.6
FL,Brevard,12009071100,90.75216296,58.7
FL,Brevard,12009071200,106.4119405,42.1
FL,Brevard,12009071301,132.4064494,47.2
FL,Brevard,12009071322,138.507206,36
FL,Brevard,12009071332,139.5756419,32.4
FL,Brevard,12009071334,135.4454044,38.5
FL,Brevard,12009071335,135.445246,46.6
FL,Brevard,12009071336,136.9246084,45.6
FL,Brevard,12009071337,134.7324245,38.8
FL,Brevard,12009071338,134.9578685,38.9
FL,Brevard,12009071339,141.7476536,37.6
FL,Brevard,12009071340,141.313606,39.4
FL,Brevard,12009071400,96.10084664,49.3
FL,Brevard,12009071500,111.4344285,52.5
FL,Brevard,12009071600,113.4898523,47.5
FL,Brevard,12009980000,107.9842687,45.5
FL,Broward,12011010102,259.5582609,45.6
FL,Broward,12011010103,258.6766203,50.2
FL,Broward,12011010104,258.7500807,54.5
FL,Broward,12011010200,258.6117342,41.4
FL,Broward,12011010304,258.9071565,36.3
FL,Broward,12011010305,258.1781675,32.3
FL,Broward,12011010306,258.3662783,40.1
FL,Broward,12011010307,257.4396629,35.2
FL,Broward,12011010308,256.9747256,50.7
FL,Broward,12011010401,256.6560927,40.4
FL,Broward,12011010402,257.3568024,62
FL,Broward,12011010403,257.8247011,75.7
FL,Broward,12011010405,259.7650023,35.3
FL,Broward,12011010406,258.3183458,36.5
FL,Broward,12011010407,258.6727225,46.8
FL,Broward,12011010502,256.2888014,37.1
FL,Broward,12011010503,254.6724553,39.2
FL,Broward,12011010504,256.3058593,38.6
FL,Broward,12011010601,256.3699121,42.4
FL,Broward,12011010603,256.9726068,40.2
FL,Broward,12011010604,257.4344316,38.2
FL,Broward,12011010605,257.6525764,40.4
FL,Broward,12011010606,258.3895748,33.5
FL,Broward,12011010607,258.5665786,34.2
FL,Broward,12011010609,257.0351565,36
FL,Broward,12011010610,257.0125733,38
FL,Broward,12011010611,256.762372,38
FL,Broward,12011010612,256.511819,36.8
FL,Broward,12011010701,259.4666596,37.2
FL,Broward,12011010702,259.7977243,35.1
FL,Broward,12011010800,260.074347,36.1
FL,Broward,12011010901,260.699813,51
FL,Broward,12011010902,260.2058589,50.8
FL,Broward,12011011000,260.8406145,67.4
FL,Broward,12011020101,259.8664405,36.8
FL,Broward,12011020103,261.6245755,36.7
FL,Broward,12011020104,260.900135,39.3
FL,Broward,12011020204,259.5276832,43.4
FL,Broward,12011020205,259.5735193,40.1
FL,Broward,12011020206,260.1655742,36.7
FL,Broward,12011020207,260.536823,54.3
FL,Broward,12011020209,261.359885,36.5
FL,Broward,12011020210,261.0615983,42.7
FL,Broward,12011020211,261.5950063,54.9
FL,Broward,12011020212,261.1695771,61.9
FL,Broward,12011020302,258.0610403,34.8
FL,Broward,12011020308,258.5321211,30
FL,Broward,12011020309,258.6492526,35.3
FL,Broward,12011020311,257.9518293,37
FL,Broward,12011020312,258.628177,33.7
FL,Broward,12011020313,258.6706272,32.7
FL,Broward,12011020314,258.9278947,39.4
FL,Broward,12011020315,260.0719826,38.2
FL,Broward,12011020316,260.7126269,34.1
FL,Broward,12011020317,261.2169827,38.5
FL,Broward,12011020318,259.9133242,39.7
FL,Broward,12011020319,259.7319025,39.7
FL,Broward,12011020320,260.0039798,38.4
FL,Broward,12011020321,260.7177085,42.7
FL,Broward,12011020322,260.7321255,40.6
FL,Broward,12011020323,259.0198453,33.2
FL,Broward,12011020324,259.2628045,36.9
FL,Broward,12011020325,257.8742835,35.4
FL,Broward,12011020326,257.5160605,29.4
FL,Broward,12011020404,262.9894969,31.9
FL,Broward,12011020405,263.6734097,29.9
FL,Broward,12011020406,262.1867505,41.5
FL,Broward,12011020407,262.1026169,32.1
FL,Broward,12011020409,261.4906594,67.2
FL,Broward,12011020411,262.0248473,47.1
FL,Broward,12011020412,262.594695,26.4
FL,Broward,12011020413,262.8528766,29.4
FL,Broward,12011020414,261.4228666,41.8
FL,Broward,12011020415,262.108111,51.7
FL,Broward,12011020501,262.2188816,35.1
FL,Broward,12011020502,262.8963235,31.8
FL,Broward,12011030100,261.4488287,47.9
FL,Broward,12011030201,261.2257024,39.8
FL,Broward,12011030202,262.4475798,39
FL,Broward,12011030203,261.2933002,36.5
FL,Broward,12011030301,260.5609347,29.6
FL,Broward,12011030302,261.2479898,39.7
FL,Broward,12011030401,261.8172739,38.2
FL,Broward,12011030402,262.7085246,29.9
FL,Broward,12011030500,261.3662976,28.4
FL,Broward,12011030600,261.327757,33
FL,Broward,12011030702,261.9397704,36.6
FL,Broward,12011030703,260.0993478,51.9
FL,Broward,12011030704,260.863512,58.5
FL,Broward,12011030705,261.4516199,80.7
FL,Broward,12011030801,263.8515158,34
FL,Broward,12011030802,263.4647408,54
FL,Broward,12011030902,264.6571248,45.7
FL,Broward,12011030903,264.2500266,39.3
FL,Broward,12011030904,264.1275817,48.6
FL,Broward,12011031001,263.3400726,42.5
FL,Broward,12011031002,263.8747097,45.7
FL,Broward,12011031101,262.0881538,50.4
FL,Broward,12011031102,263.1163958,49
FL,Broward,12011031202,264.6720383,62.7
FL,Broward,12011031203,263.4030933,66.4
FL,Broward,12011031204,263.2127599,62.8
FL,Broward,12011031205,262.3980938,57.3
FL,Broward,12011040101,266.7632985,56.9
FL,Broward,12011040102,265.6117144,57.9
FL,Broward,12011040203,265.9497869,51.9
FL,Broward,12011040204,265.5816903,50.3
FL,Broward,12011040205,265.3817113,45.5
FL,Broward,12011040206,265.0913558,47.2
FL,Broward,12011040300,266.0052921,45
FL,Broward,12011040401,267.1634137,56
FL,Broward,12011040402,267.0569156,49.6
FL,Broward,12011040502,268.9133043,53.7
FL,Broward,12011040503,267.4447954,67.1
FL,Broward,12011040504,267.5565919,66.9
FL,Broward,12011040601,269.1864635,49.3
FL,Broward,12011040602,268.7617699,46.9
FL,Broward,12011040701,268.8008299,44.9
FL,Broward,12011040702,269.415074,42.6
FL,Broward,12011040801,268.461345,35.8
FL,Broward,12011040802,268.6894206,38.5
FL,Broward,12011040901,268.1128453,35.3
FL,Broward,12011040902,268.5798703,35.9
FL,Broward,12011041000,268.176588,32.3
FL,Broward,12011041100,268.7023109,31.8
FL,Broward,12011041200,268.0382733,29.8
FL,Broward,12011041300,269.1168053,38.5
FL,Broward,12011041400,269.421146,31.7
FL,Broward,12011041500,269.3483524,26.6
FL,Broward,12011041600,269.8478062,29.8
FL,Broward,12011041700,269.2137,33.7
FL,Broward,12011041801,269.8048359,40.4
FL,Broward,12011041802,269.8787809,44.5
FL,Broward,12011041900,270.4971745,42.3
FL,Broward,12011042000,270.5520671,53
FL,Broward,12011042100,270.7548137,54.8
FL,Broward,12011042200,272.1025491,61.9
FL,Broward,12011042301,271.5594701,47
FL,Broward,12011042302,271.9441772,43.9
FL,Broward,12011042400,270.9940198,44.2
FL,Broward,12011042500,270.2959571,32.9
FL,Broward,12011042600,270.6407423,41.6
FL,Broward,12011042700,270.7316844,39.3
FL,Broward,12011042800,270.2680948,33.8
FL,Broward,12011042900,270.0139783,33.7
FL,Broward,12011043001,271.6643687,49.8
FL,Broward,12011043002,270.9939943,35.7
FL,Broward,12011043100,271.2780256,41
FL,Broward,12011043301,271.8280969,43
FL,Broward,12011043302,272.290151,36.5
FL,Broward,12011050100,264.949872,35
FL,Broward,12011050204,264.1739316,38.7
FL,Broward,12011050205,262.9730777,62.5
FL,Broward,12011050206,263.6227195,47.5
FL,Broward,12011050207,265.670703,38.6
FL,Broward,12011050208,264.8065832,36.2
FL,Broward,12011050301,266.0687043,33.9
FL,Broward,12011050306,266.263255,30.7
FL,Broward,12011050307,266.8485475,35.4
FL,Broward,12011050308,267.3221212,29.5
FL,Broward,12011050309,264.583163,29.4
FL,Broward,12011050310,265.3317699,57.7
FL,Broward,12011050311,266.0225569,48.1
FL,Broward,12011050312,266.5419897,55.6
FL,Broward,12011050401,266.534184,36.6
FL,Broward,12011050402,266.4008291,43.9
FL,Broward,12011050501,266.096899,40.5
FL,Broward,12011050502,265.6278041,38.3
FL,Broward,12011050601,266.5669868,46.5
FL,Broward,12011050602,267.4238235,42.4
FL,Broward,12011050701,266.7142245,38.9
FL,Broward,12011050702,266.8208337,32.1
FL,Broward,12011050800,267.1505488,36.2
FL,Broward,12011050900,267.5972128,44.4
FL,Broward,12011051001,268.1231364,48
FL,Broward,12011051002,268.1099248,51
FL,Broward,12011060105,263.5439346,37.9
FL,Broward,12011060107,264.1963743,44.4
FL,Broward,12011060109,264.5673323,57.5
FL,Broward,12011060111,262.4485746,41.6
FL,Broward,12011060112,263.098299,48.5
FL,Broward,12011060113,263.8857024,37.6
FL,Broward,12011060114,264.1735694,37.5
FL,Broward,12011060115,264.6386552,32.6
FL,Broward,12011060116,264.8776979,35.6
FL,Broward,12011060117,265.0978509,33.5
FL,Broward,12011060118,264.2914348,38.4
FL,Broward,12011060119,264.906934,38
FL,Broward,12011060120,266.1100497,35.5
FL,Broward,12011060121,266.8099448,41.9
FL,Broward,12011060122,267.4583189,34.1
FL,Broward,12011060123,265.3470345,47.8
FL,Broward,12011060124,265.3241295,38.2
FL,Broward,12011060125,265.4004593,37.1
FL,Broward,12011060126,264.4191048,41.7
FL,Broward,12011060127,263.4267303,36.8
FL,Broward,12011060128,263.9446544,38.9
FL,Broward,12011060203,267.6294924,32.8
FL,Broward,12011060206,266.0903094,46.2
FL,Broward,12011060207,266.1507334,56.8
FL,Broward,12011060208,266.3400596,30.7
FL,Broward,12011060209,266.7093274,35.8
FL,Broward,12011060210,265.7708892,38.1
FL,Broward,12011060211,265.5840323,70.4
FL,Broward,12011060212,266.1593201,36.9
FL,Broward,12011060213,265.6705377,65.8
FL,Broward,12011060302,266.8948987,29.3
FL,Broward,12011060303,266.6276935,27.1
FL,Broward,12011060304,267.6011964,27.7
FL,Broward,12011060305,265.8474365,33.9
FL,Broward,12011060306,265.8157658,54.8
FL,Broward,12011060401,267.4667509,40.4
FL,Broward,12011060402,267.002788,31.2
FL,Broward,12011060403,267.8195842,37.6
FL,Broward,12011060501,267.2918163,37.8
FL,Broward,12011060503,266.5981598,38.5
FL,Broward,12011060504,266.8281479,44.4
FL,Broward,12011060505,267.0618947,55.5
FL,Broward,12011060603,267.6291687,35.7
FL,Broward,12011060605,268.0503962,32.3
FL,Broward,12011060606,268.519309,39.2
FL,Broward,12011060607,268.0165905,44.9
FL,Broward,12011060608,267.9691016,38.4
FL,Broward,12011060609,267.5298487,34.4
FL,Broward,12011060700,268.5493405,43.4
FL,Broward,12011060801,269.7951108,40.8
FL,Broward,12011060802,268.742764,33.8
FL,Broward,12011060900,269.4031841,44
FL,Broward,12011061001,270.0490199,46.7
FL,Broward,12011061002,268.7928323,39
FL,Broward,12011061100,270.7818191,32.8
FL,Broward,12011070101,272.0309908,32.8
FL,Broward,12011070102,273.2891668,41.5
FL,Broward,12011070204,271.1301915,26.5
FL,Broward,12011070205,270.0328238,39.7
FL,Broward,12011070207,269.9160495,47.9
FL,Broward,12011070208,270.3132518,40.7
FL,Broward,12011070209,271.2077025,41.8
FL,Broward,12011070210,270.2200423,49.8
FL,Broward,12011070211,271.2763324,36.3
FL,Broward,12011070304,268.0090614,38.6
FL,Broward,12011070305,268.8707845,35.4
FL,Broward,12011070306,270.5188455,40.3
FL,Broward,12011070310,267.5825242,37.5
FL,Broward,12011070311,267.5601834,39.1
FL,Broward,12011070312,268.0980597,39.4
FL,Broward,12011070313,269.7319733,38.2
FL,Broward,12011070314,271.3733881,39.7
FL,Broward,12011070315,271.9521257,42.5
FL,Broward,12011070316,272.2105049,42.3
FL,Broward,12011070317,266.9879173,33.7
FL,Broward,12011070318,268.3828025,41.9
FL,Broward,12011070319,266.1954174,37.6
FL,Broward,12011070320,266.0966026,37.5
FL,Broward,12011070321,267.4521456,45.5
FL,Broward,12011070322,266.746299,38.1
FL,Broward,12011070401,272.3306303,41.2
FL,Broward,12011070402,272.6643538,42.3
FL,Broward,12011070403,272.7920798,36.9
FL,Broward,12011070404,272.8342833,44
FL,Broward,12011070405,273.5377501,41.3
FL,Broward,12011070501,273.4926714,42.6
FL,Broward,12011070502,274.144908,30.5
FL,Broward,12011070601,272.3402423,33.2
FL,Broward,12011070602,273.1931289,35.4
FL,Broward,12011080101,275.5924779,49.8
FL,Broward,12011080102,274.3414191,43.5
FL,Broward,12011080103,275.6800391,37.6
FL,Broward,12011080200,273.3729487,54.6
FL,Broward,12011080402,274.4680123,48.4
FL,Broward,12011080403,273.6914506,36.3
FL,Broward,12011080405,273.4835814,38.1
FL,Broward,12011080406,273.8917434,37.9
FL,Broward,12011080500,275.1988474,31.7
FL,Broward,12011090101,278.8722242,54.3
FL,Broward,12011090102,274.9223621,54.4
FL,Broward,12011090200,277.4658816,46.4
FL,Broward,12011090301,277.3735136,44.4
FL,Broward,12011090302,276.6498168,44.1
FL,Broward,12011090401,276.5876188,41.9
FL,Broward,12011090403,277.2227894,36.9
FL,Broward,12011090404,276.4867554,37.6
FL,Broward,12011090502,275.0140093,41.9
FL,Broward,12011090503,274.9311041,49.9
FL,Broward,12011090504,274.7698502,45.6
FL,Broward,12011090601,274.629334,38.2
FL,Broward,12011090602,274.5791309,42.1
FL,Broward,12011090700,275.1996278,37
FL,Broward,12011090801,275.5813281,41.8
FL,Broward,12011090802,275.8479174,47.6
FL,Broward,12011090900,276.3189572,44.2
FL,Broward,12011091000,276.8223946,44
FL,Broward,12011091100,276.2593559,33
FL,Broward,12011091201,275.7930354,36.3
FL,Broward,12011091202,276.2859325,36.1
FL,Broward,12011091300,275.800761,37.9
FL,Broward,12011091400,277.3441035,35.7
FL,Broward,12011091500,277.8444632,34.5
FL,Broward,12011091600,277.7867347,53.3
FL,Broward,12011091701,277.1135747,38.5
FL,Broward,12011091702,277.3253735,37.1
FL,Broward,12011091801,277.975155,35.6
FL,Broward,12011091802,277.8322844,39.3
FL,Broward,12011091901,278.2014789,42.5
FL,Broward,12011091902,277.9926876,37.3
FL,Broward,12011092000,278.3266578,42
FL,Broward,12011100101,279.1619143,51.9
FL,Broward,12011100103,279.842532,56
FL,Broward,12011100104,280.0435245,59.6
FL,Broward,12011100105,279.9540656,59.9
FL,Broward,12011100201,278.948098,42.2
FL,Broward,12011100202,279.0500054,49.8
FL,Broward,12011100300,279.6092413,38.5
FL,Broward,12011100400,278.7728552,31.1
FL,Broward,12011100501,278.4076529,38.9
FL,Broward,12011100502,279.3553416,52
FL,Broward,12011100600,279.0753617,36.2
FL,Broward,12011100700,278.2739693,35
FL,Broward,12011100801,278.7004536,30.2
FL,Broward,12011100802,278.8904571,29.4
FL,Broward,12011110100,276.872205,37.5
FL,Broward,12011110301,272.9851224,37.5
FL,Broward,12011110302,273.3614012,37.9
FL,Broward,12011110303,273.4600103,41.3
FL,Broward,12011110307,274.4611157,42.7
FL,Broward,12011110308,274.7515595,37.5
FL,Broward,12011110309,274.9637093,44.1
FL,Broward,12011110311,275.3966708,38.6
FL,Broward,12011110312,275.7441944,36.4
FL,Broward,12011110313,275.8242575,33.8
FL,Broward,12011110319,277.2649196,36.4
FL,Broward,12011110320,277.5730787,29.9
FL,Broward,12011110321,277.455153,38.4
FL,Broward,12011110322,278.4064866,32.8
FL,Broward,12011110323,278.1985342,32
FL,Broward,12011110324,276.3152967,36
FL,Broward,12011110325,276.750182,34
FL,Broward,12011110326,274.8958425,37.6
FL,Broward,12011110327,273.9341165,36.4
FL,Broward,12011110328,274.623142,34.2
FL,Broward,12011110330,275.2535883,38.5
FL,Broward,12011110331,273.733528,38.7
FL,Broward,12011110332,275.3724001,42.1
FL,Broward,12011110333,274.0747651,36.8
FL,Broward,12011110334,275.8593221,77
FL,Broward,12011110335,275.7786203,75.6
FL,Broward,12011110336,275.9939508,30.6
FL,Broward,12011110337,275.98253,29.5
FL,Broward,12011110338,275.4980283,34.2
FL,Broward,12011110339,274.9967644,51.2
FL,Broward,12011110340,276.663003,48.5
FL,Broward,12011110341,276.727692,39.3
FL,Broward,12011110342,277.0574059,31.1
FL,Broward,12011110343,276.4989243,35.3
FL,Broward,12011110402,278.4867833,36.3
FL,Broward,12011110403,277.6790735,35
FL,Broward,12011110404,277.7707288,35.1
FL,Broward,12011110501,278.3297995,34.3
FL,Broward,12011110502,278.8147399,35.3
FL,Broward,12011110600,272.5620861,35.6
FL,Broward,12011980000,255.6568203,40.5
FL,Calhoun,12013010100,229.5758426,38.3
FL,Calhoun,12013010200,239.3571429,42.8
FL,Calhoun,12013010300,228.7478009,38.9
FL,Charlotte,12015010100,207.6362585,41.9
FL,Charlotte,12015010200,205.6668045,54.2
FL,Charlotte,12015010301,210.5412757,63.4
FL,Charlotte,12015010302,209.0726656,46.2
FL,Charlotte,12015010401,210.725411,66
FL,Charlotte,12015010402,210.8133574,66.5
FL,Charlotte,12015010403,212.3384353,64.9
FL,Charlotte,12015010404,212.8444881,66.4
FL,Charlotte,12015010501,209.4395206,53.5
FL,Charlotte,12015010502,216.8211712,59.4
FL,Charlotte,12015020101,204.6346809,50.2
FL,Charlotte,12015020103,203.2865055,50.3
FL,Charlotte,12015020104,204.0416057,69.4
FL,Charlotte,12015020201,204.4644078,48.8
FL,Charlotte,12015020202,204.5491361,49.3
FL,Charlotte,12015020301,205.020663,56.1
FL,Charlotte,12015020302,206.8718222,46.7
FL,Charlotte,12015020303,206.9835137,47.8
FL,Charlotte,12015020400,207.4215096,55.3
FL,Charlotte,12015020501,210.0822384,55.8
FL,Charlotte,12015020502,208.4667522,58.8
FL,Charlotte,12015020601,207.3232155,49.6
FL,Charlotte,12015020602,207.5095771,49.5
FL,Charlotte,12015020700,206.4432277,52.9
FL,Charlotte,12015020800,205.9193329,40.5
FL,Charlotte,12015020900,206.5596795,49.2
FL,Charlotte,12015021001,205.4885543,50.2
FL,Charlotte,12015021002,206.4771689,67
FL,Charlotte,12015021003,208.2917946,62.5
FL,Charlotte,12015030100,211.2102433,51.6
FL,Charlotte,12015030200,213.2578516,50.6
FL,Charlotte,12015030301,214.8929526,63.9
FL,Charlotte,12015030302,214.1297739,68.3
FL,Charlotte,12015030401,214.9408733,63.8
FL,Charlotte,12015030402,219.3765018,63.7
FL,Charlotte,12015030501,218.3373256,59.2
FL,Charlotte,12015030502,217.0532502,62.7
FL,Charlotte,12015030503,214.844457,60.9
FL,Citrus,12017450101,94.9361926,60.8
FL,Citrus,12017450102,90.40301014,56.3
FL,Citrus,12017450201,97.40622014,52.5
FL,Citrus,12017450202,96.39318377,49.1
FL,Citrus,12017450302,93.38213455,42.6
FL,Citrus,12017450303,102.1205702,52.5
FL,Citrus,12017450304,98.09344425,56.7
FL,Citrus,12017450400,100.9069608,51.6
FL,Citrus,12017450500,108.2063368,55.6
FL,Citrus,12017450601,104.2889798,51.1
FL,Citrus,12017450602,102.964767,53.1
