year,state,species,pounds,dollars
1999,Maine,"COD, ATLANTIC",87250,89077
1999,Maine,"COD, ATLANTIC",648804,797283
1999,Maryland,"COD, ATLANTIC",42,19
1999,Massachusetts,"COD, ATLANTIC",4095742,4651131
1999,Massachusetts,"COD, ATLANTIC",10370474,11592887
1999,Massachusetts,"COD, ATLANTIC",4074147,4531776
1999,Massachusetts,"COD, ATLANTIC",121659,75260
1999,Massachusetts,"COD, ATLANTIC",12631,12914
1999,New Hampshire,"COD, ATLANTIC",30970,25393
1999,New Hampshire,"COD, ATLANTIC",110477,132914
1999,New Hampshire,"COD, ATLANTIC",204289,233490
1999,New Hampshire,"COD, ATLANTIC",4246,2347
1999,New Jersey,"COD, ATLANTIC",29,31
1999,New Jersey,"COD, ATLANTIC",12,16
1999,New Jersey,"COD, ATLANTIC",105,110
1999,New Jersey,"COD, ATLANTIC",555,675
1999,Rhode Island,"COD, ATLANTIC",43473,32951
1999,Rhode Island,"COD, ATLANTIC",266000,255237
1999,Rhode Island,"COD, ATLANTIC",399,248
1999,Rhode Island,"COD, ATLANTIC",17662,18588
1999,Rhode Island,"COD, ATLANTIC",341415,315239
1998,Connecticut,"COD, ATLANTIC",116653,76074
1998,Maine,"COD, ATLANTIC",1776,1686
1998,Maine,"COD, ATLANTIC",128073,124947
1998,Maine,"COD, ATLANTIC",861557,960973
1998,Maine,"COD, ATLANTIC",1408589,1495359
1998,Massachusetts,"COD, ATLANTIC",5106794,5054069
1998,Massachusetts,"COD, ATLANTIC",15494,13776
1998,Massachusetts,"COD, ATLANTIC",4287513,4510815
1998,Massachusetts,"COD, ATLANTIC",10413833,11120228
1998,Massachusetts,"COD, ATLANTIC",179800,104121
1998,New Hampshire,"COD, ATLANTIC",59673,30207
1998,New Hampshire,"COD, ATLANTIC",437511,483374
1998,New Hampshire,"COD, ATLANTIC",858320,908427
1998,New Hampshire,"COD, ATLANTIC",135251,127937
1998,New Jersey,"COD, ATLANTIC",455,534
1998,Rhode Island,"COD, ATLANTIC",2094,1543
1998,Rhode Island,"COD, ATLANTIC",187203,152139
1998,Rhode Island,"COD, ATLANTIC",186992,164450
1998,Rhode Island,"COD, ATLANTIC",33434,24317
1998,Rhode Island,"COD, ATLANTIC",5748,6630
1997,Connecticut,"COD, ATLANTIC",20843,13499
1997,Maine,"COD, ATLANTIC",2410,1357
1997,Maine,"COD, ATLANTIC",1013539,961371
1997,Maine,"COD, ATLANTIC",2650923,2204913
1997,Maine,"COD, ATLANTIC",316744,245627
1997,Maryland,"COD, ATLANTIC",25,22
1997,Massachusetts,"COD, ATLANTIC",4719298,3990066
1997,Massachusetts,"COD, ATLANTIC",264225,115263
1997,Massachusetts,"COD, ATLANTIC",4907924,4209995
1997,Massachusetts,"COD, ATLANTIC",12162437,10663968
1997,Massachusetts,"COD, ATLANTIC",24599,19120
1997,New Hampshire,"COD, ATLANTIC",101328,44395
1997,New Hampshire,"COD, ATLANTIC",207262,154522
1997,New Hampshire,"COD, ATLANTIC",384183,334743
1997,New Hampshire,"COD, ATLANTIC",1310398,1102281
1997,New Jersey,"COD, ATLANTIC",210,234
1997,New Jersey,"COD, ATLANTIC",18,26
