USPS,GEOID,County,POP10,HU10,Num_Female,Num_Male,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,LAT_Youth,LONG_Youth,Distance,Actual_Age,Age_Bias_98,Age_bias_65,Age_bias_45
FL,12009065125,Brevard,5788,3302,3105,2683,3959318,0,1.529,0,28.0435423,-80.6242629,29.906891,-81.314962,134.9726111,44,44.4,44.3,44.2
FL,12009065201,Brevard,5447,2964,2854,2593,4230407,4416948,1.633,1.705,28.0236194,-80.5745162,29.906891,-81.314962,137.2335119,46.8,44.3,45.2,45.5
FL,12009065202,Brevard,5182,2228,2677,2505,6357372,0,2.455,0,28.0042723,-80.6198471,29.906891,-81.314962,137.6301275,42.8,44.2,43.7,43.5
FL,12009065231,Brevard,5492,2427,2682,2810,71273063,10847544,27.519,4.188,27.9648573,-80.5817571,29.906891,-81.314962,140.9290468,49,44,45.9,46.5
FL,12009065234,Brevard,3646,2448,1897,1749,70310565,5573522,27.147,2.152,27.848972,-80.5523637,29.906891,-81.314962,149.073387,63.7,43.4,51,53.5
FL,12009065235,Brevard,5430,4126,2921,2509,5001502,2051830,1.931,0.792,27.8880104,-80.5146854,29.906891,-81.314962,147.2535362,69,43.5,53.1,56.3
FL,12009065236,Brevard,1513,751,763,750,53601961,3717238,20.696,1.435,27.9098425,-80.56769,29.906891,-81.314962,144.7970116,53.2,43.7,47.3,48.5
FL,12009066101,Brevard,4047,2327,2002,2045,3741733,8309090,1.445,3.208,28.0598505,-80.561583,29.906891,-81.314962,135.1378182,52.5,44.4,47.5,48.5
FL,12009066103,Brevard,1908,1550,1001,907,1450109,4004307,0.56,1.546,28.0407113,-80.5528403,29.906891,-81.314962,136.5585095,63,44.4,51.3,53.7
FL,12009066104,Brevard,4718,2950,2355,2363,15851843,43236128,6.12,16.694,27.9473366,-80.5047059,29.906891,-81.314962,143.6035583,56.4,43.9,48.6,50.1
FL,12009066200,Brevard,2603,1494,1285,1318,2413128,4386343,0.932,1.694,28.0847271,-80.5737887,29.906891,-81.314962,133.2741452,49.9,44.6,46.6,47.2
FL,12009066301,Brevard,6292,3549,3191,3101,4547114,6173040,1.756,2.383,28.1199659,-80.5917254,29.906891,-81.314962,130.6213295,48,44.8,46,46.4
